Tom czuł się samotny.[sound:61672789308479224683452422744159837777141153349183653560391.mp3]	Tom felt lonely.
Źle cię zrozumiałem.[sound:59055799350888627431868766944130758950235005970342534324750.mp3]	You're misunderstood.
Ona ma depresję.[sound:87368340774997045506530844663501622949319828807531906839602.mp3]	She's depressed.
To nie będzie łatwe.[sound:47830925253900544268617468488639405218225655880420843561729.mp3]	It won't be easy to do that.
Już prawie.[sound:64717765525718732710828817603558176779710903315506906890614.mp3]	Almost three.
To wspaniały wiersz.[sound:16881239587528049723543014612189823789800387722587410568318.mp3]	That's a great poem.
Możesz stać?[sound:83065918876967969461170701671144925350937848422217169980453.mp3]	Can you stand?
Przestępca uciekł z więzienia.[sound:86103893576001900870036726348652672080180650152314892025115.mp3]	The criminal escaped from the prison.
Już ich nie potrzebuję.[sound:43457266011609995304121014469577378098053524911006448972218.mp3]	I no longer need them.
Uszczęśliwił rodziców.[sound:14618861653723168204651728364155862356788973804088496559255.mp3]	He made his parents happy.
Dużo ludzi lubi podróżować.[sound:53340185020248474529566360802739172511177750085390081402970.mp3]	Many people like to travel.
Masz plamę na koszuli.[sound:96556373726472670630722419729523414437859891018005917052737.mp3]	Your shirt is stained.
Czy to twoje rzeczy?[sound:62192912994378066008120936200594061642128794945208826208785.mp3]	Are these your things?
Gdzie moge znalezc Toma?[sound:4282178152866345401504572287314355359138878050304672522097.mp3]	Where can I find Tom?
Mam dwa pytania.[sound:17323838860459552722486507916977793229031947559779582129754.mp3]	I have two questions.
Moje oceny były średnie.[sound:15706749090900412911977020958014156385136771889377829419778.mp3]	My school grades were average.
Przygotujmy się do obiadu.[sound:52749822843525430536457146604352989862827592965317281731161.mp3]	Let's get ready for lunch.
Tom hoduje wąsa.[sound:21117948155420087414193196287390216899377196153397031358972.mp3]	Tom is growing a mustache.
Nie gadać w klasie.[sound:71233124914479053697554235789738231460736519377706874388091.mp3]	Don't talk in the classroom.
Stary człowiek coś powiedział.[sound:84906550670534231801236609614032572380585140992363221641927.mp3]	The old man said something.
Czy ona jest developerem?[sound:96854592463759061892497677697635779552141663562874439642344.mp3]	Is she a developer?
Jestem zmęczona.[sound:72059057926312282427155978720449761312567704128298099449285.mp3]	I'm tired.
Mam gorączkę.[sound:4664855688388360644896518004445917147608253632642542215092.mp3]	I have a cold.
Sprawiła, że się uśmiechnąłem.[sound:31823899557564854263084614815637169621907312958998976132959.mp3]	She made me smile.
Sami damy radę![sound:42335287901458513840682020578571683580637252532984361024892.mp3]	We can do it ourselves.
To moja parasolka.[sound:91040952868636036570828467616798433887398519404950347974461.mp3]	It's my umbrella.
Tom milczał.[sound:71319862197633187872730995798175760157951164646679158007236.mp3]	Tom was silent.
Czy Tom jest przytomny?[sound:97982516955872350836127012940827163196495765014124825445668.mp3]	Is Tom conscious?
Mam konto na Facebooku.[sound:47537349187468765682237923330669423223534929433014725270481.mp3]	I have a Facebook account.
Jaki chcesz prezent?[sound:64426551011405251715372084820004281112227025793377798063322.mp3]	What kind of gift do you want?
Pracuj.[sound:54085500714524556663712468683924061869673501842477601348272.mp3]	Work.
Byłem wczoraj w domu.[sound:47333203286213718288021130659648800634731275837962603965304.mp3]	I was at home yesterday.
Tom ma samochód.[sound:67373104481294735449575645463135579901903751960077958563932.mp3]	Tom has a car.
Chcesz jabłko czy brzoskwinię?[sound:98071461090246694035294007750718742831476111689692351296181.mp3]	Do you want apple or peach?
„Zaufaj mi”, powiedział.[sound:67745303987382927106039386478269157511841219527713532522506.mp3]	"Trust me," he said.
Ona kładzie chłopców spać.[sound:66381893900705917538452612949371935611583953403799557782712.mp3]	She puts the boys to sleep.
Nie mogę wygrać.[sound:84437530282135271550632334608142033220618708921111299037130.mp3]	I can't win.
Nagle zgasło światło.[sound:5279069929557814509060578765295727375790241837206818777345.mp3]	Suddenly, the light went out.
Koń jest spragniony.[sound:54273403557165187292998547341387209118140955235929486734601.mp3]	The horse is thirsty.
Czytałeś mój raport?[sound:77965725365420683896440093272450066247105356159561417564558.mp3]	Have you read my report?
Tom poszedł na emeryturę.[sound:96269961418473472989626260862443812303229949008856548098552.mp3]	Tom retired.
Ona ma chorobę serca.[sound:14440519929745796196064483651215656585447631457976324389384.mp3]	She has a heart disease.
Miał złamane serce.[sound:55799284671750720686614632823338012437335417605337090375740.mp3]	He was heartbroken.
Umiem biegać tak szybko.[sound:84884144371399766862715116852054413572631992049529654901306.mp3]	I can run as fast.
Musimy zadzwonić na policję.[sound:17704243217227401258053382739575460791534319955225647765855.mp3]	We have to call the police.
Oddycha?[sound:74285582527882709473336142809769596880106186404325081440390.mp3]	Is he breathing?
Co robisz dziś wieczorem?[sound:7168137890365542528694687733879999092035772449609135039518.mp3]	What are you going to do tonight?
Bójka nie trwała długo.[sound:29235274431136896671398210981435414308843989403323118568914.mp3]	The fight didn't last long.
Poproszę o szklankę wody.[sound:46852425558550918252113514656303218278499972214063106095867.mp3]	A glass of water, please.
Podniosła rękę.[sound:16569364192801229205339432283556035461055951657146587194675.mp3]	She raised her hand.
Ogoliła sobie pachy.[sound:81279531541384991171793612649875689527746308389448207337348.mp3]	She shaved her armpits.
Kiedy wrócił z Osaki?[sound:59538542631440086554082162037842535405450582577084857210161.mp3]	When did he return from Osaka?
Nie ma nic nadzwyczajnego.[sound:91485624723680704773088109091330027617792159502856242538854.mp3]	There's nothing out of the ordinary.
Przyjaźń jest magiczna.[sound:45482607719644652630982349147379174585154496956943515515049.mp3]	Friendship is magic.
Myślałem, że widzę ducha.[sound:46316333150027995209425395215464968232254206863382994726924.mp3]	I thought I saw a ghost.
(Oni) nie uregulowali rachunku.[sound:85236495829107027237765803129049528441269424252702339874373.mp3]	They didn't settle the bill.
Ale wspaniała noc![sound:89374720751417355406962114502998389355958080466384320113463.mp3]	What a wonderful night!
Lubisz tańczyć?[sound:42223995951955779449463369978250721298045891214770877961183.mp3]	Do you like to dance?
Ona umie obchodzić przepisy.[sound:14863693328622578935942115061441816405000799369616371817076.mp3]	She's good at getting around rules.
Tom lubi je obie.[sound:67190859890862743271935688555978979479359456016911459550056.mp3]	Tom likes them both.
Ani jeden, ani drugi.[sound:44231701165474890300658102754661503931466733412179384959066.mp3]	Neither the one nor the other.
Kapłan pobłogosławił wiernych.[sound:9680105851630851052974918460579511825129887958931561935657.mp3]	The priest blessed the congregation.
Możemy zamówić pizzę.[sound:24073613334311188246063852588933075860380495714595159784491.mp3]	We can order a pizza.
Nie bądź taki pewien.[sound:28761503213675943751854871762136338334530304583129490645461.mp3]	Don't be so sure.
Proszę wystawić mi rachunek.[sound:75277478157378358581643459918546018586487099761931426812455.mp3]	Please bill me.
Jest bardzo wietrznie.[sound:55712569446724632333279459690450478008455245183999064990671.mp3]	It's really windy.
Chcę pomóc.[sound:1956717575893874861240048078694871998480695520454610092385.mp3]	I want to help out.
Nie byłeś chory.[sound:2795759403784098357452309829255285165555641340595823050364.mp3]	You weren't ill.
Wszyscy czuli się bezpieczni.[sound:24667829264388377409891948292967707195122390664776357217723.mp3]	Everyone felt safe.
Krzycz![sound:35527062927236534241921473638001342051044822686878200638268.mp3]	Scream.
Zero to wyjątkowa liczba.[sound:33271113591016271874583623210116641969916647885382480240734.mp3]	Zero is a special number.
Ona mówi za dużo.[sound:95604355494181640399016255067865784606327132383645401629095.mp3]	She speaks too much.
Próbowałem uratować Toma.[sound:97034192895575473715820059772087212496738873409343678625533.mp3]	I tried to save Tom.
Ulice są zaśnieżone.[sound:12760734788127258368399511578998899231501808747299878294813.mp3]	The streets are covered with snow.
Muszę wrócić do Bostonu.[sound:5039225796020554512839316453268438148091226827736801693529.mp3]	I have to go back to Boston.
Zgubiłem mój ołówek.[sound:49498957824496858564512651485757245560024133848566550945160.mp3]	I've lost my pencil.
Przywitałem sąsiadów.[sound:30930048756650128072806709740370988530888180678771486156429.mp3]	I greeted my neighbors.
Mam pozwolenie?[sound:35713344580238847018339384281045926679643602545149865511439.mp3]	Do I have permission?
Mam stary rower.[sound:78122810490467061726788795132854080906361185787586111184662.mp3]	I have an old bicycle.
Rozsmarowała masło na chlebie.[sound:29392376997576406559289794890092619867487052519855726706435.mp3]	She spread the butter on the bread.
Przesadzasz.[sound:3436341554112586885537204793239599766386472049634514845479.mp3]	You're overreacting.
Muszę spadać/[sound:61049139993028794484222575319580931432140567991395835239259.mp3]	I've gotta go.
Co pan czyta?[sound:22027028329312466230207633819796165898059680345931319142271.mp3]	What are you reading?
Jesteś taki silny.[sound:47537571632978103894798161877872214967050068319414211766665.mp3]	You're so strong.
Zostań w środku.[sound:2071415261580040782860296613855625348754282113457806445611.mp3]	Stay inside.
Zatrzymaj to.[sound:53940285708342901670812482229769268047990724134623278537307.mp3]	Keep it.
Te psy są duże.[sound:47023609268108284598201123934185502226246935862393518333514.mp3]	These dogs are big.
Wyglądał na bogatego człowieka.[sound:50380920762143991410199894428996531662453338036297056354276.mp3]	He looked like a rich man.
Zróbmy to później.[sound:34249990317797568773720843644881956338454908433011874405704.mp3]	Let's do this later.
Kto jadł?[sound:83744294876654628712161578432016704360976390959464005521989.mp3]	Who ate?
Czy ty to kochasz?[sound:94892101708974662775240384486540949002952822769273640916581.mp3]	Do you love it?
Tom jest moim synem.[sound:39718262088142991616467049209676052826096022252074483245776.mp3]	Tom is my son.
Tom nas nie zawiedzie.[sound:74249444647614017014757107445215609213397897054058474721486.mp3]	Tom won't fail us.
Co robisz w niedziele?[sound:52262839401646456147413006632736096675942860665892020011093.mp3]	What do you do on Sundays?
Odpoczywam.[sound:90958938030223139299554014915932026679115364166337083937620.mp3]	I'm resting.
Mam dziś kaca.[sound:19624825420429582639009950715497517631563615469655196636587.mp3]	I have a hangover today.
Ładna pogoda dziś wieczór.[sound:56142155392568871078655300281593313649246177477501993271418.mp3]	The weather is nice tonight.
Zapomniałem nazwiska Toma.[sound:80175868610041221475750857758646561800512358729796091316048.mp3]	I've forgotten Tom's last name.
Zachowuj się.[sound:92376407251114479604115800365819985673330873600802682250011.mp3]	Behave yourself.
Gdzie znajdę książki?[sound:32380325202734113927159233801086504537504220096451813756035.mp3]	Where would I find books?
Jastrząb złapał mysz.[sound:93369688545135731039391753546637567234571038532943978932235.mp3]	The hawk caught a mouse.
Tak się bałem![sound:33797768364203420333524886473326448684719519131022201845016.mp3]	How afraid I was!
Lubię kuchnię koreańską.[sound:35199757292893250018608860410254937823799296248271598246198.mp3]	I like to eat Korean food.
Znalazłeś kogoś do pomocy?[sound:65459482265532788053838922596681333637281071206086056134617.mp3]	Did you find someone to help you?
Tom był głodny.[sound:58312412401489993950611736087994693320427161227283161273829.mp3]	Tom felt hungry.
Moglibyśmy spróbować znaleźć klucz.[sound:962200613987208416818580730347493685189781261810680485709.mp3]	We could try to find the key.
Jestem z innej planety.[sound:43508255325988713014546856656654702197039560246829117719775.mp3]	I'm from another planet.
Zostawiłem drzwi otwarte.[sound:63871938982814490109082872023399144402999189712692313590289.mp3]	I left the door open.
Ptaki znoszą jajka.[sound:73319844956542421249907696572472867764441697800164247792155.mp3]	Birds lay eggs.
Chciałbyś się czegoś napić?[sound:77759495773876380409735592257761033938486470333913734940292.mp3]	Would you like to drink something?
Potrzebuję twojej pomocy.[sound:11037418444741221996797924791200026472042444273943603419119.mp3]	I need your help.
Czuję się dziś przygnębiony.[sound:13601670975866550156073696313211238092346555182934650207657.mp3]	I feel down in the dumps today.
Te fakty poznali wszyscy.[sound:42209420082063527758504788917559244825091437061617795354247.mp3]	The facts became known to everyone.
Kupiłem nowe wieczne pióro.[sound:51434709929163411898408566253355878324002071182798331658367.mp3]	I bought a new fountain pen.
Rozmawialiśmy już.[sound:70846734154997716150013309364438469920896615195628292738676.mp3]	We already talked.
Tom zrobił to celowo.[sound:64101389169422070389447497237385772889500871302377211445032.mp3]	Tom did that on purpose.
Jest dość zimno.[sound:21947865336017448352100893137011676525845768323673205581771.mp3]	It's pretty cold.
Przestań śpiewać, proszę.[sound:35163105863363624217121100004040343054300658912279804124959.mp3]	Please stop singing!
Nie mówiłem po angielsku.[sound:35340882619790743515630638867848384347228048111130569457408.mp3]	I wasn't speaking English.
Tom buduje ścianę.[sound:38610277213104990792413347990336446481424115519381129094886.mp3]	Tom is building a wall.
Lubisz sałatkę owocową?[sound:39507552178808989491747777313907292452298796622595701196965.mp3]	Do you like fruit salad?
Przemawiałeś kiedyś po francusku?[sound:72979879406482632042982095140216647408498065419945750061817.mp3]	Have you ever given a speech in French?
Okłamali mnie.[sound:78930630201765338078262315172572437895492139597022973451621.mp3]	They lied to me.
Mogę biegać z tobą?[sound:21502310939998001067591524468033959651413733403706298916080.mp3]	May I run with you?
Jesteś lekkomyślny.[sound:62500659346168958110370844991734218964312352756921053151664.mp3]	You're reckless.
To sknera.[sound:6352842897595006203417470622892350610027393193426305524509.mp3]	He is cheap.
On potrzebuje pieniędzy.[sound:52157404452341584288296967968027463616122353438442445979715.mp3]	He needs money.
Ta szkoła jest nasza.[sound:15599067650461695883202988054162402786471959103534803458349.mp3]	This school is ours.
Pokaż mi swoje ręce.[sound:49191420910676629761335151213082088266903386829377405058202.mp3]	Give me your hands.
Zadzwonię do niego później.[sound:63173726430920106041047508530980887868795752718900426764132.mp3]	I'll call him later.
Jest tam kto?[sound:26771308567311647831757518719407984831151385577278101197538.mp3]	Is there anybody here?
Szukasz czegoś?[sound:7159181740233742673611306920146488656845351921416770417365.mp3]	Are you looking for something?
Już tego próbowaliśmy.[sound:38700733189380499543741851036304434889894470902740773477465.mp3]	We already tried that.
Dobrze się bawisz?[sound:65372871834565540181843973356986024031391368673961310237461.mp3]	Are you enjoying yourself?
Kocham cię jak brata.[sound:90602337742771589101881282867926175149306347862947295027371.mp3]	I love you like a brother.
Wszystko zakończyło się szczęśliwie.[sound:24227987080385128106797371194786117742860224292574948834480.mp3]	Everything turned out all right in the end.
Dzięki za nic.[sound:68716131333061167226792949087163284247569087145503286490400.mp3]	Thank you for nothing.
Mają wiele wspólnego.[sound:24965561494280021467292410932888196206710232304674523046757.mp3]	They have a lot in common.
Ile jest jabłek?[sound:98423183735127121403928208215130053466683408229812872172813.mp3]	How many apples are there?
Tom jutro pomaluje płot.[sound:50826999902185115654638448675892065353191143972389355100071.mp3]	Tom will paint the fence tomorrow.
Co ten klucz otwiera?[sound:24018749238310844904990592739179708458914021901158479321584.mp3]	What does this key unlock?
Tom zaciągnął się.[sound:9991931930861961587948632976846409796663826664570580561703.mp3]	Tom enlisted.
W jakim celu?[sound:59978377735725724250186940744617472816185992539188653217057.mp3]	For what purpose?
Dlaczego się nie ruszyłeś?[sound:84876409935218721551823282466879620073373115931991898725699.mp3]	Why didn't you move?
Czemu?[sound:71728612203434409870730390388098588504398906830116467651517.mp3]	Why?
Widziałeś to kiedyś?[sound:19385637928896654444251447949378054731767375478524472851356.mp3]	Have you ever seen this?
Dzięki![sound:39531074483562446076153933440225156383418050394014253027434.mp3]	Thanks!
Nie, Tom! To okropne.[sound:17420144087320057710324075151729076905541378250625156422762.mp3]	Don't, Tom! It's awful.
Szantażował mnie.[sound:6898106463035373634292017329472183016716236762651145208613.mp3]	He blackmailed me.
Przyjdź też jutro![sound:51479212344506921198502331213991410832814239148237425002533.mp3]	Come again tomorrow.
